id,title,director,year,country,image,synopsis
82,LES SENTIERS DE L'OUBLI,Nicol Ruiz Benavides , 2020,Chili,https://images.mubicdn.net/images/film/275505/cache-574856-1596875674/image-w1280.jpg?size=400x,"Devenue veuve, Claudina quitte la campagne pour rejoindre son petit-fils Cristoban et sa fille Alejandra, avec qui elle s'entend moyen. C'est la a qu'elle fait la connaissance d'Elsa, une femme independante et mariee, dont elle va tomber amoureuse. Une rencontre et une vraie emancipation pour elle."
83,SHIVA BABY,Emma Seligman , 2020,Etats-Unis,https://images.mubicdn.net/images/film/254618/cache-507693-1597443286/image-w1280.jpg?size=400x,No synopsis available
84,TEENAGE BOUNTY HUNTERS,Rebecca Asher & 9 de plus, 2020,Etats-Unis,https://images.mubicdn.net/images/film/274760/cache-572151-1608582194/image-w1280.jpg?size=400x,"After joining forces with a veteran bounty hunter, sixteen-year-old fraternal twin sisters Sterling and Blair dive into the world of bail skipping baddies while still navigating the high stakes of teenage life."
85,MA RAINEY'S BLACK BOTTOM,George C. Wolfe , 2020,Etats-Unis,https://images.mubicdn.net/images/film/238661/cache-593199-1612536814/image-w1280.jpg?size=400x,"When Ma Rainey, the ""Queen of the Blues,"" makes a record in a studio in Chicago, 1927, tensions boil between her, her white agent and producer, and bandmates."
86,TAHARA,Olivia Peace , 2020,Etats-Unis,https://images.mubicdn.net/images/film/252794/cache-499182-1626464151/image-w1280.jpg?size=400x,"At the funeral for a Hebrew school classmate who took her own life, two best friends find themselves distracted by the teenage complications of lust, social status, and wavering faith."
87,UNPREGNANT,Rachel Lee Goldenberg , 2020,Etats-Unis,https://images.mubicdn.net/images/film/275759/cache-575645-1621580426/image-w1280.jpg?size=400x,"When her picture-perfect world verges on collapse after discovering she's pregnant, Ivy-League bound Veronica enlists her chaotic ex-BFF Bailey to drive her 1,000 miles to carry out a decision she never imagined she'd have to make."
88,SUMMERLAND,Jessica Swale , 2020,Royaume-Uni,https://images.mubicdn.net/images/film/250554/cache-491082-1584084807/image-w1280.jpg?size=400x,A woman during World War II opens her heart to an evacuee after initially resolving to be rid of him.
89,A SECRET LOVE,Chris Bolan , 2020,Etats-Unis,https://images.mubicdn.net/images/film/255814/cache-508031-1580057845/image-w1280.jpg?size=400x,"A moving and triumphant love story about two trailblazing women who break barriers and conventional norms, coming out to their conservative families as they face the difficulties of aging."
90,THE OLD GUARD,Gina Prince-Bythewood , 2020,Etats-Unis,https://images.mubicdn.net/images/film/229618/cache-541891-1594695994/image-w1280.jpg?size=400x,A covert team of immortal mercenaries are suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.
91,A NEW YORK CHRISTMAS WEDDING,Otoja Abit , 2020,Etats-Unis,https://images.mubicdn.net/images/film/287179/cache-617494-1607396237/image-w1280.jpg?size=400x,"As her Christmas Eve wedding draws near, Jennifer is visited by an angel and shown what could have been if she hadn't denied her true feelings for her childhood best friend."
92,DATING AMBER,David Freyne , 2020,Irlande,https://images.mubicdn.net/images/film/269943/cache-553903-1610827214/image-w1280.jpg?size=400x,Two school friends decide to start a pretend straight relationship in an effort to fit in.
